PassengerId,Sex,Pclass,Age,Survived
100,male,2,34.0,0
101,female,3,28.0,0
102,male,3,28.0,0
103,male,1,21.0,0
104,male,3,33.0,0
105,male,3,37.0,0
106,male,3,28.0,0
107,female,3,21.0,1
108,male,3,28.0,1
109,male,3,38.0,0
110,female,3,28.0,1
111,male,1,47.0,0
112,female,3,14.5,0
113,male,3,22.0,0
114,female,3,20.0,0
115,female,3,17.0,0
116,male,3,21.0,0
117,male,3,70.5,0
118,male,2,29.0,0
119,male,1,24.0,0
120,female,3,2.0,0
121,male,2,21.0,0
122,male,3,28.0,0
123,male,2,32.5,0
124,female,2,32.5,1
125,male,1,54.0,0
126,male,3,12.0,1
127,male,3,28.0,0
128,male,3,24.0,1
129,female,3,28.0,1
130,male,3,45.0,0
131,male,3,33.0,0
132,male,3,20.0,0
133,female,3,47.0,0
134,female,2,29.0,1
135,male,2,25.0,0
136,male,2,23.0,0
137,female,1,19.0,1
138,male,1,37.0,0
139,male,3,16.0,0
140,male,1,24.0,0
141,female,3,28.0,0
142,female,3,22.0,1
143,female,3,24.0,1
144,male,3,19.0,0
145,male,2,18.0,0
146,male,2,19.0,0
147,male,3,27.0,1
148,female,3,9.0,0
149,male,2,36.5,0
150,male,2,42.0,0
151,male,2,51.0,0
152,female,1,22.0,1
153,male,3,55.5,0
154,male,3,40.5,0
155,male,3,28.0,0
156,male,1,51.0,0
157,female,3,16.0,1
158,male,3,30.0,0
159,male,3,28.0,0
160,male,3,28.0,0
161,male,3,44.0,0
162,female,2,40.0,1
163,male,3,26.0,0
164,male,3,17.0,0
165,male,3,1.0,0
166,male,3,9.0,1
167,female,1,28.0,1
168,female,3,45.0,0
169,male,1,28.0,0
170,male,3,28.0,0
171,male,1,61.0,0
172,male,3,4.0,0
173,female,3,1.0,1
174,male,3,21.0,0
175,male,1,56.0,0
176,male,3,18.0,0
177,male,3,28.0,0
178,female,1,50.0,0
179,male,2,30.0,0
180,male,3,36.0,0
181,female,3,28.0,0
182,male,2,28.0,0
183,male,3,9.0,0
184,male,2,1.0,1
185,female,3,4.0,1
186,male,1,28.0,0
187,female,3,28.0,1
188,male,1,45.0,1
189,male,3,40.0,0
190,male,3,36.0,0
191,female,2,32.0,1
192,male,2,19.0,0
193,female,3,19.0,1
194,male,2,3.0,1
195,female,1,44.0,1
196,female,1,58.0,1
197,male,3,28.0,0
198,male,3,42.0,0
199,female,3,28.0,1
200,female,2,24.0,0
201,male,3,28.0,0
202,male,3,28.0,0
203,male,3,34.0,0
204,male,3,45.5,0
205,male,3,18.0,1
206,female,3,2.0,0
207,male,3,32.0,0
208,male,3,26.0,1
209,female,3,16.0,1
210,male,1,40.0,1
211,male,3,24.0,0
212,female,2,35.0,1
213,male,3,22.0,0
214,male,2,30.0,0
215,male,3,28.0,0
216,female,1,31.0,1
217,female,3,27.0,1
218,male,2,42.0,0
219,female,1,32.0,1
220,male,2,30.0,0
221,male,3,16.0,1
222,male,2,27.0,0
223,male,3,51.0,0
224,male,3,28.0,0
225,male,1,38.0,1
226,male,3,22.0,0
227,male,2,19.0,1
228,male,3,20.5,0
229,male,2,18.0,0
230,female,3,28.0,0
231,female,1,35.0,1
232,male,3,29.0,0
233,male,2,59.0,0
234,female,3,5.0,1
235,male,2,24.0,0
236,female,3,28.0,0
237,male,2,44.0,0
238,female,2,8.0,1
239,male,2,19.0,0
240,male,2,33.0,0
241,female,3,28.0,0
242,female,3,28.0,1
243,male,2,29.0,0
244,male,3,22.0,0
245,male,3,30.0,0
246,male,1,44.0,0
247,female,3,25.0,0
248,female,2,24.0,1
249,male,1,37.0,1
250,male,2,54.0,0
251,male,3,28.0,0
252,female,3,29.0,0
253,male,1,62.0,0
254,male,3,30.0,0
255,female,3,41.0,0
256,female,3,29.0,1
257,female,1,28.0,1
258,female,1,30.0,1
259,female,1,35.0,1
260,female,2,50.0,1
261,male,3,28.0,0
262,male,3,3.0,1
263,male,1,52.0,0
264,male,1,40.0,0
265,female,3,28.0,0
266,male,2,36.0,0
267,male,3,16.0,0
268,male,3,25.0,1
269,female,1,58.0,1
270,female,1,35.0,1
271,male,1,28.0,0
272,male,3,25.0,1
273,female,2,41.0,1
274,male,1,37.0,0
275,female,3,28.0,1
276,female,1,63.0,1
277,female,3,45.0,0
278,male,2,28.0,0
279,male,3,7.0,0
280,female,3,35.0,1
281,male,3,65.0,0
282,male,3,28.0,0
283,male,3,16.0,0
284,male,3,19.0,1
285,male,1,28.0,0
286,male,3,33.0,0
287,male,3,30.0,1
288,male,3,22.0,0
289,male,2,42.0,1
290,female,3,22.0,1
291,female,1,26.0,1
292,female,1,19.0,1
293,male,2,36.0,0
294,female,3,24.0,0
295,male,3,24.0,0
296,male,1,28.0,0
297,male,3,23.5,0
298,female,1,2.0,0
299,male,1,28.0,1
300,female,1,50.0,1
301,female,3,28.0,1
302,male,3,28.0,1
303,male,3,19.0,0
304,female,2,28.0,1
305,male,3,28.0,0
306,male,1,0.92,1
307,female,1,28.0,1
308,female,1,17.0,1
309,male,2,30.0,0
310,female,1,30.0,1
311,female,1,24.0,1
312,female,1,18.0,1
313,female,2,26.0,0
314,male,3,28.0,0
315,male,2,43.0,0
316,female,3,26.0,1
317,female,2,24.0,1
318,male,2,54.0,0
319,female,1,31.0,1
320,female,1,40.0,1
321,male,3,22.0,0
322,male,3,27.0,0
323,female,2,30.0,1
324,female,2,22.0,1
325,male,3,28.0,0
326,female,1,36.0,1
327,male,3,61.0,0
328,female,2,36.0,1
329,female,3,31.0,1
330,female,1,16.0,1
331,female,3,28.0,1
332,male,1,45.5,0
333,male,1,38.0,0
334,male,3,16.0,0
335,female,1,28.0,1
336,male,3,28.0,0
337,male,1,29.0,0
338,female,1,41.0,1
339,male,3,45.0,1
340,male,1,45.0,0
341,male,2,2.0,1
342,female,1,24.0,1
343,male,2,28.0,0
344,male,2,25.0,0
345,male,2,36.0,0
346,female,2,24.0,1
347,female,2,40.0,1
348,female,3,28.0,1
349,male,3,3.0,1
350,male,3,42.0,0
351,male,3,23.0,0
352,male,1,28.0,0
353,male,3,15.0,0
354,male,3,25.0,0
355,male,3,28.0,0
356,male,3,28.0,0
357,female,1,22.0,1
358,female,2,38.0,0
359,female,3,28.0,1
360,female,3,28.0,1
361,male,3,40.0,0
362,male,2,29.0,0
363,female,3,45.0,0
364,male,3,35.0,0
365,male,3,28.0,0
366,male,3,30.0,0
367,female,1,60.0,1
368,female,3,28.0,1
369,female,3,28.0,1
370,female,1,24.0,1
371,male,1,25.0,1
372,male,3,18.0,0
373,male,3,19.0,0
374,male,1,22.0,0
375,female,3,3.0,0
376,female,1,28.0,1
377,female,3,22.0,1
378,male,1,27.0,0
379,male,3,20.0,0
380,male,3,19.0,0
381,female,1,42.0,1
382,female,3,1.0,1
383,male,3,32.0,0
384,female,1,35.0,1
385,male,3,28.0,0
386,male,2,18.0,0
387,male,3,1.0,0
388,female,2,36.0,1
389,male,3,28.0,0
390,female,2,17.0,1
391,male,1,36.0,1
392,male,3,21.0,1
393,male,3,28.0,0
394,female,1,23.0,1
395,female,3,24.0,1
396,male,3,22.0,0
397,female,3,31.0,0
398,male,2,46.0,0
399,male,2,23.0,0
400,female,2,28.0,1
401,male,3,39.0,1
402,male,3,26.0,0
403,female,3,21.0,0
404,male,3,28.0,0
405,female,3,20.0,0
406,male,2,34.0,0
407,male,3,51.0,0
408,male,2,3.0,1
409,male,3,21.0,0
410,female,3,28.0,0
411,male,3,28.0,0
412,male,3,28.0,0
413,female,1,33.0,1
414,male,2,28.0,0
415,male,3,44.0,1
416,female,3,28.0,0
417,female,2,34.0,1
418,female,2,18.0,1
419,male,2,30.0,0
420,female,3,10.0,0
421,male,3,28.0,0
422,male,3,21.0,0
423,male,3,29.0,0
424,female,3,28.0,0
425,male,3,18.0,0
426,male,3,28.0,0
427,female,2,28.0,1
428,female,2,19.0,1
429,male,3,28.0,0
430,male,3,32.0,1
431,male,1,28.0,1
432,female,3,28.0,1
433,female,2,42.0,1
434,male,3,17.0,0
435,male,1,50.0,0
436,female,1,14.0,1
437,female,3,21.0,0
438,female,2,24.0,1
439,male,1,64.0,0
440,male,2,31.0,0
441,female,2,45.0,1
442,male,3,20.0,0
443,male,3,25.0,0
444,female,2,28.0,1
445,male,3,28.0,1
446,male,1,4.0,1
447,female,2,13.0,1
448,male,1,34.0,1
449,female,3,5.0,1
450,male,1,52.0,1
451,male,2,36.0,0
452,male,3,28.0,0
453,male,1,30.0,0
454,male,1,49.0,1
455,male,3,28.0,0
456,male,3,29.0,1
457,male,1,65.0,0
458,female,1,28.0,1
459,female,2,50.0,1
460,male,3,28.0,0
461,male,1,48.0,1
462,male,3,34.0,0
463,male,1,47.0,0
464,male,2,48.0,0
465,male,3,28.0,0
466,male,3,38.0,0
467,male,2,28.0,0
468,male,1,56.0,0
469,male,3,28.0,0
470,female,3,0.75,1
471,male,3,28.0,0
472,male,3,38.0,0
473,female,2,33.0,1
474,female,2,23.0,1
475,female,3,22.0,0
476,male,1,28.0,0
477,male,2,34.0,0
478,male,3,29.0,0
479,male,3,22.0,0
480,female,3,2.0,1
481,male,3,9.0,0
482,male,2,28.0,0
483,male,3,50.0,0
484,female,3,63.0,1
485,male,1,25.0,1
486,female,3,28.0,0
487,female,1,35.0,1
488,male,1,58.0,0
489,male,3,30.0,0
490,male,3,9.0,1
491,male,3,28.0,0
492,male,3,21.0,0
493,male,1,55.0,0
494,male,1,71.0,0
495,male,3,21.0,0
496,male,3,28.0,0
497,female,1,54.0,1
498,male,3,28.0,0
499,female,1,25.0,0
500,male,3,24.0,0
501,male,3,17.0,0
502,female,3,21.0,0
503,female,3,28.0,0
504,female,3,37.0,0
505,female,1,16.0,1
506,male,1,18.0,0
507,female,2,33.0,1
508,male,1,28.0,1
509,male,3,28.0,0
510,male,3,26.0,1
511,male,3,29.0,1
512,male,3,28.0,0
513,male,1,36.0,1
514,female,1,54.0,1
515,male,3,24.0,0
516,male,1,47.0,0
517,female,2,34.0,1
518,male,3,28.0,0
519,female,2,36.0,1
520,male,3,32.0,0
521,female,1,30.0,1
522,male,3,22.0,0
523,male,3,28.0,0
524,female,1,44.0,1
525,male,3,28.0,0
526,male,3,40.5,0
527,female,2,50.0,1
528,male,1,28.0,0
529,male,3,39.0,0
530,male,2,23.0,0
531,female,2,2.0,1
532,male,3,28.0,0
533,male,3,17.0,0
534,female,3,28.0,1
535,female,3,30.0,0
536,female,2,7.0,1
537,male,1,45.0,0
538,female,1,30.0,1
539,male,3,28.0,0
540,female,1,22.0,1
541,female,1,36.0,1
542,female,3,9.0,0
543,female,3,11.0,0
544,male,2,32.0,1
545,male,1,50.0,0
546,male,1,64.0,0
547,female,2,19.0,1
548,male,2,28.0,1
549,male,3,33.0,0
550,male,2,8.0,1
551,male,1,17.0,1
552,male,2,27.0,0
553,male,3,28.0,0
554,male,3,22.0,1
555,female,3,22.0,1
556,male,1,62.0,0
557,female,1,48.0,1
558,male,1,28.0,0
559,female,1,39.0,1
560,female,3,36.0,1
561,male,3,28.0,0
562,male,3,40.0,0
563,male,2,28.0,0
564,male,3,28.0,0
565,female,3,28.0,0
566,male,3,24.0,0
567,male,3,19.0,0
568,female,3,29.0,0
569,male,3,28.0,0
570,male,3,32.0,1
571,male,2,62.0,1
572,female,1,53.0,1
573,male,1,36.0,1
574,female,3,28.0,1
575,male,3,16.0,0
576,male,3,19.0,0
577,female,2,34.0,1
578,female,1,39.0,1
579,female,3,28.0,0
580,male,3,32.0,1
581,female,2,25.0,1
582,female,1,39.0,1
583,male,2,54.0,0
584,male,1,36.0,0
585,male,3,28.0,0
586,female,1,18.0,1
587,male,2,47.0,0
588,male,1,60.0,1
589,male,3,22.0,0
590,male,3,28.0,0
591,male,3,35.0,0
592,female,1,52.0,1
593,male,3,47.0,0
594,female,3,28.0,0
595,male,2,37.0,0
596,male,3,36.0,0
597,female,2,28.0,1
598,male,3,49.0,0
599,male,3,28.0,0
600,male,1,49.0,1
601,female,2,24.0,1
602,male,3,28.0,0
603,male,1,28.0,0
604,male,3,44.0,0
605,male,1,35.0,1
606,male,3,36.0,0
607,male,3,30.0,0
608,male,1,27.0,1
609,female,2,22.0,1
610,female,1,40.0,1
611,female,3,39.0,0
612,male,3,28.0,0
613,female,3,28.0,1
614,male,3,28.0,0
615,male,3,35.0,0
616,female,2,24.0,1
617,male,3,34.0,0
618,female,3,26.0,0
619,female,2,4.0,1
620,male,2,26.0,0
621,male,3,27.0,0
622,male,1,42.0,1
623,male,3,20.0,1
624,male,3,21.0,0
625,male,3,21.0,0
626,male,1,61.0,0
627,male,2,57.0,0
628,female,1,21.0,1
629,male,3,26.0,0
630,male,3,28.0,0
631,male,1,80.0,1
632,male,3,51.0,0
633,male,1,32.0,1
634,male,1,28.0,0
635,female,3,9.0,0
636,female,2,28.0,1
637,male,3,32.0,0
638,male,2,31.0,0
639,female,3,41.0,0
640,male,3,28.0,0
641,male,3,20.0,0
642,female,1,24.0,1
643,female,3,2.0,0
644,male,3,28.0,1
645,female,3,0.75,1
646,male,1,48.0,1
647,male,3,19.0,0
648,male,1,56.0,1
649,male,3,28.0,0
650,female,3,23.0,1
651,male,3,28.0,0
652,female,2,18.0,1
653,male,3,21.0,0
654,female,3,28.0,1
655,female,3,18.0,0
656,male,2,24.0,0
657,male,3,28.0,0
658,female,3,32.0,0
659,male,2,23.0,0
660,male,1,58.0,0
661,male,1,50.0,1
662,male,3,40.0,0
663,male,1,47.0,0
664,male,3,36.0,0
665,male,3,20.0,1
666,male,2,32.0,0
667,male,2,25.0,0
668,male,3,28.0,0
669,male,3,43.0,0
670,female,1,28.0,1
671,female,2,40.0,1
672,male,1,31.0,0
673,male,2,70.0,0
674,male,2,31.0,1
675,male,2,28.0,0
676,male,3,18.0,0
677,male,3,24.5,0
678,female,3,18.0,1
679,female,3,43.0,0
680,male,1,36.0,1
681,female,3,28.0,0
682,male,1,27.0,1
683,male,3,20.0,0
684,male,3,14.0,0
685,male,2,60.0,0
686,male,2,25.0,0
687,male,3,14.0,0
688,male,3,19.0,0
689,male,3,18.0,0
690,female,1,15.0,1
691,male,1,31.0,1
692,female,3,4.0,1
693,male,3,28.0,1
694,male,3,25.0,0
695,male,1,60.0,0
696,male,2,52.0,0
697,male,3,44.0,0
698,female,3,28.0,1
699,male,1,49.0,0
700,male,3,42.0,0
701,female,1,18.0,1
702,male,1,35.0,1
703,female,3,18.0,0
704,male,3,25.0,0
705,male,3,26.0,0
706,male,2,39.0,0
707,female,2,45.0,1
708,male,1,42.0,1
709,female,1,22.0,1
710,male,3,28.0,1
711,female,1,24.0,1
712,male,1,28.0,0
713,male,1,48.0,1
714,male,3,29.0,0
715,male,2,52.0,0
716,male,3,19.0,0
717,female,1,38.0,1
718,female,2,27.0,1
719,male,3,28.0,0
720,male,3,33.0,0
721,female,2,6.0,1
722,male,3,17.0,0
723,male,2,34.0,0
724,male,2,50.0,0
725,male,1,27.0,1
726,male,3,20.0,0
727,female,2,30.0,1
728,female,3,28.0,1
729,male,2,25.0,0
730,female,3,25.0,0
731,female,1,29.0,1
732,male,3,11.0,0
733,male,2,28.0,0
734,male,2,23.0,0
735,male,2,23.0,0
736,male,3,28.5,0
737,female,3,48.0,0
738,male,1,35.0,1
739,male,3,28.0,0
740,male,3,28.0,0
741,male,1,28.0,1
742,male,1,36.0,0
743,female,1,21.0,1
744,male,3,24.0,0
745,male,3,31.0,1
746,male,1,70.0,0
747,male,3,16.0,0
748,female,2,30.0,1
749,male,1,19.0,0
750,male,3,31.0,0
751,female,2,4.0,1
752,male,3,6.0,1
753,male,3,33.0,0
754,male,3,23.0,0
755,female,2,48.0,1
756,male,2,0.67,1
757,male,3,28.0,0
758,male,2,18.0,0
759,male,3,34.0,0
760,female,1,33.0,1
761,male,3,28.0,0
762,male,3,41.0,0
763,male,3,20.0,1
764,female,1,36.0,1
765,male,3,16.0,0
766,female,1,51.0,1
767,male,1,28.0,0
768,female,3,30.5,0
769,male,3,28.0,0
770,male,3,32.0,0
771,male,3,24.0,0
772,male,3,48.0,0
773,female,2,57.0,0
774,male,3,28.0,0
775,female,2,54.0,1
776,male,3,18.0,0
777,male,3,28.0,0
778,female,3,5.0,1
779,male,3,28.0,0
780,female,1,43.0,1
781,female,3,13.0,1
782,female,1,17.0,1
783,male,1,29.0,0
784,male,3,28.0,0
785,male,3,25.0,0
786,male,3,25.0,0
787,female,3,18.0,1
788,male,3,8.0,0
789,male,3,1.0,1
790,male,1,46.0,0
791,male,3,28.0,0
792,male,2,16.0,0
793,female,3,28.0,0
794,male,1,28.0,0
795,male,3,25.0,0
796,male,2,39.0,0
797,female,1,49.0,1
798,female,3,31.0,1
799,male,3,30.0,0
800,female,3,30.0,0
801,male,2,34.0,0
802,female,2,31.0,1
803,male,1,11.0,1
804,male,3,0.42,1
805,male,3,27.0,1
806,male,3,31.0,0
807,male,1,39.0,0
808,female,3,18.0,0
809,male,2,39.0,0
810,female,1,33.0,1
811,male,3,26.0,0
812,male,3,39.0,0
813,male,2,35.0,0
814,female,3,6.0,0
815,male,3,30.5,0
816,male,1,28.0,0
817,female,3,23.0,0
818,male,2,31.0,0
819,male,3,43.0,0
820,male,3,10.0,0
821,female,1,52.0,1
822,male,3,27.0,1
823,male,1,38.0,0
824,female,3,27.0,1
825,male,3,2.0,0
826,male,3,28.0,0
827,male,3,28.0,0
828,male,2,1.0,1
829,male,3,28.0,1
830,female,1,62.0,1
831,female,3,15.0,1
832,male,2,0.83,1
833,male,3,28.0,0
834,male,3,23.0,0
835,male,3,18.0,0
836,female,1,39.0,1
837,male,3,21.0,0
838,male,3,28.0,0
839,male,3,32.0,1
840,male,1,28.0,1
841,male,3,20.0,0
842,male,2,16.0,0
843,female,1,30.0,1
844,male,3,34.5,0
845,male,3,17.0,0
846,male,3,42.0,0
847,male,3,28.0,0
848,male,3,35.0,0
849,male,2,28.0,0
850,female,1,28.0,1
851,male,3,4.0,0
852,male,3,74.0,0
853,female,3,9.0,0
854,female,1,16.0,1
855,female,2,44.0,0
856,female,3,18.0,1
857,female,1,45.0,1
858,male,1,51.0,1
859,female,3,24.0,1
860,male,3,28.0,0
861,male,3,41.0,0
862,male,2,21.0,0
863,female,1,48.0,1
864,female,3,28.0,0
865,male,2,24.0,0
866,female,2,42.0,1
867,female,2,27.0,1
868,male,1,31.0,0
869,male,3,28.0,0
870,male,3,4.0,1
871,male,3,26.0,0
872,female,1,47.0,1
873,male,1,33.0,0
874,male,3,47.0,0
875,female,2,28.0,1
876,female,3,15.0,1
877,male,3,20.0,0
878,male,3,19.0,0
879,male,3,28.0,0
880,female,1,56.0,1
881,female,2,25.0,1
882,male,3,33.0,0
883,female,3,22.0,0
884,male,2,28.0,0
885,male,3,25.0,0
886,female,3,39.0,0
887,male,2,27.0,0
888,female,1,19.0,1
889,female,3,28.0,0
890,male,1,26.0,1
891,male,3,32.0,0
